2024-06-01 21:32:36,500.hm_producer.INFO ==================================================
2024-06-01 21:32:36,500.hm_producer.INFO Today is 2024-06-01 at 09:32 PM
2024-06-01 21:32:36,501.hm_producer.INFO Running on: nt Windows 10
2024-06-01 21:32:36,502.hm_producer.INFO Python version:  3.10.9
2024-06-01 21:32:36,502.hm_producer.INFO Python path: C:\Users\Hayley\anaconda3
2024-06-01 21:32:36,503.hm_producer.INFO Working dir: C:\Users\Hayley\Documents\streaming-05-smart-smoker
2024-06-01 21:32:36,503.hm_producer.INFO ==================================================
2024-06-01 21:32:41,487.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:45:15', 130.0)
2024-06-01 21:32:41,523.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:46:10', 137.3)
2024-06-01 21:32:41,626.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:46:15', 137.3)
2024-06-01 21:32:41,678.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:47:10', 139.5)
2024-06-01 21:32:41,705.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:47:15', 139.5)
2024-06-01 21:32:41,736.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:48:10', 141.8)
2024-06-01 21:32:41,764.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:48:15', 141.8)
2024-06-01 21:32:41,797.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:49:10', 143.6)
2024-06-01 21:32:41,830.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:49:15', 143.6)
2024-06-01 21:32:41,861.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:50:10', 145.0)
2024-06-01 21:32:41,893.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:50:15', 145.0)
2024-06-01 21:32:41,925.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:51:10', 146.2)
2024-06-01 21:32:41,959.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:51:15', 146.2)
2024-06-01 21:32:41,994.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:52:10', 147.5)
2024-06-01 21:32:42,033.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:52:15', 147.5)
2024-06-01 21:32:42,068.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:53:10', 148.7)
2024-06-01 21:32:42,107.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:53:15', 148.7)
2024-06-01 21:32:42,150.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:54:10', 149.9)
2024-06-01 21:32:42,174.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:54:15', 149.9)
2024-06-01 21:32:42,197.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:55:05', 151.1)
2024-06-01 21:32:42,221.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:55:10', 151.2)
2024-06-01 21:32:42,251.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:55:15', 151.2)
2024-06-01 21:32:42,279.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:56:10', 152.4)
